,address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,addresses_in_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff
29,1PaGpGNLYNeHfCQDZQzuYxSMEmrcFkaakJ,122337117.0,8,17,0.9230769230769231,48,52,0,12061.5,124810.7,783365.0,444.0,9324193077,9324193077,37569230.76923077,35200000.0,3000000.0
30,1GcwRwkEGZag1M6SZ1waAt3LaYJX8SPXWc,38139587.0,20,18,0.3888888888888889,35,90,0,52960.0,52960.0,104497.0,1423.0,6297062878,6296963509,4152200.388888889,8351203.142857143,27690000.0
31,1GS6hqbmHaH87cMitAtm4vf7E33EdK5SF1,3402582.0,10,9,0.9230769230769231,24,26,0,4476.0,4840.7,12567.0,2051.0,7919711624,7919711624,29722624.46153846,31033676.5,200000000.0
32,1CZHFhXcfFGGe917VpvmnpVDbefXAYCF48,1429853.0,20,10,0.5625,36,64,0,0.0,67271.5,223640.0,0.0,4208029004,4208017901,6886015.75,10469777.777777778,20841824.0
33,1JgDzsF1ar5j2PaTudkznNPSsEn96Gpyhz,1842237.0,28,12,0.47058823529411764,56,119,0,3625.0,25167.166666666668,134740.0,0.0,3425870269,3425808681,5261116.411764706,9046061.875,7916388.0
34,1Bgp4b36yfN64RhmLKNEswnwK9getei8tw,8501911.0,25,11,0.9230769230769231,60,65,3,0.0,76125.55555555556,677649.0,0.0,6587494794,6587494794,9677842.384615384,8847745.916666666,28151651.0
35,1L9MY4WZWPYayKXYg9Lj2RpX3D393dq3ze,91390210.0,20,19,0.19047619047619047,16,84,0,8632236.0,8632236.0,8632236.0,8632236.0,800655375,800655375,3046644.238095238,10002500.25,30524881.0
36,1BPXxTwuerD4gHizYzrAp14yWTdDWQ1RB9,12227965.0,221,10,0.13636363636363635,51,374,3,0.0,0.0,0.0,0.0,29252265760,29252265760,4601205.454545454,1337565.3333333333,200024087.0
37,1Btp8rWoWa8ttutoawbBiZnbRNHkaRznqV,6656781.0,12,22,0.9230769230769231,72,78,0,45520.0,109697.25,423732.0,0.0,821152310,820655053,9827358.615384616,3187743.25,830000.0
38,17B4a1gUmfQeXcrCeJn1ZgPgcYksUToCnt,43554416.0,42,24,24.0,504,21,0,20634.0,20634.0,20634.0,20634.0,10484273489,9244243489,280000000.0,9167916.666666666,5880000000.0
39,1BCDoTg8AiUDbQF2kFbG7uJYqPbCqM259V,453617.0,8,5,0.6666666666666666,10,15,7,5704.0,34433.8,149888.0,2357.0,1012743081,1012743081,478775.06666666665,264373.0,3803584.0
40,1BMk6C67ao3Q1zeB1oTeYLYwRpG7KZXnqU,126677327.0,98,6,1.2727272727272727,98,77,8,802838.0,3257090.3333333335,8967696.0,737.0,1337142532,1337099505,1885764.4545454546,1081222.357142857,10850811.0
41,17GqF7Ghg2dUAYeuNzwpu7Zvm8zNnkbmrC,2162598.0,12,12,1.0833333333333333,39,36,0,33490.0,43362.11111111111,109127.0,7876.0,1838000000,1838000000,15166666.666666666,14000000.0,5000000.0
42,13WMxbyWF95dWq29eMutGPUFzaWtC2HLFf,3217034.0,255,8,0.7857142857142857,187,238,0,1340.0,31564.14285714286,214592.0,0.0,61322158641,61322158641,11819526.357142856,14246712.909090908,137423369.0
43,18AdYERwW1Fpj6ox3nuALGiuVVUgmZbQwK,1187948.0,78,11,1.7777777777777777,208,117,0,59438.5,68030.5,145946.0,7299.0,2521065344781,2521065344781,795250583.2222222,415331497.9375,3623921211.0
44,17U2LQRbraFsogr1ZUFqDD3nSLP7vV3tqC,14422374.0,36,16,1.2727272727272727,126,99,0,40529.0,71693.83333333333,196341.0,74.0,3654056763,3654036763,1987837.7272727273,1220897.7857142857,1300000.0
45,1FPPmX5ZqMH7WuW91Z4BXQTCUeWFZqDAFL,7428965.0,80,24,11.5,920,80,0,102358.0,102358.0,102358.0,102358.0,6059926816,6059926816,20000000.0,1000000.0,18000000.0
